2026-05-28 14:07:22,746 | shape_manager | ERROR | there is a problem with a json file
2026-05-28 14:07:36,754 | shape_manager | ERROR | there is a problem with a json file
2026-05-28 14:07:45,649 | shape_manager | DEBUG | extract class type <class 'circle.Circle'>
2026-05-28 14:07:45,649 | shape_manager | INFO | a new shape <class 'circle.Circle'> created ID 0 
2026-05-28 14:07:45,650 | root | DEBUG | create a new object of <class 'circle.Circle'>
2026-05-28 14:07:45,650 | root | DEBUG | object circle created, id 0
2026-05-28 14:07:45,650 | circle | DEBUG | object id 0 converted to a dict.
2026-05-28 14:07:45,650 | shape_manager | INFO | shapes saved to json file
2026-05-28 14:08:43,952 | shape_manager | DEBUG | all the shapes showed
2026-05-28 14:09:24,987 | shape_manager | DEBUG | calulate the max id 0
2026-05-28 14:09:24,988 | shape_manager | DEBUG | extract class type <class 'circle.Circle'>
2026-05-28 14:09:24,988 | root | DEBUG | create a new object of <class 'circle.Circle'>
2026-05-28 14:09:24,988 | root | DEBUG | object circle created, id 0
2026-05-28 14:09:24,988 | shape_manager | INFO | shapes loaded from json
2026-05-28 14:09:31,214 | shape_manager | DEBUG | all the shapes showed
2026-05-28 14:26:20,472 | shape_manager | DEBUG | calulate the max id 0
2026-05-28 14:26:20,472 | shape_manager | DEBUG | extract class type <class 'circle.Circle'>
2026-05-28 14:26:20,472 | root | DEBUG | create a new object of <class 'circle.Circle'>
2026-05-28 14:26:20,472 | root | DEBUG | object circle created, id 0
2026-05-28 14:26:20,472 | shape_manager | INFO | shapes loaded from json
2026-05-28 14:26:34,519 | shape_manager | DEBUG | extract class type <class 'rectangle.Rectangle'>
2026-05-28 14:26:34,519 | shape_manager | INFO | a new shape <class 'rectangle.Rectangle'> created ID 1 
2026-05-28 14:26:34,520 | root | DEBUG | create a new object of <class 'rectangle.Rectangle'>
2026-05-28 14:26:34,520 | root | DEBUG | object rectangle created, id 1
2026-05-28 14:26:34,520 | circle | DEBUG | object id 0 converted to a dict.
2026-05-28 14:26:34,520 | rectangle | DEBUG | object id 1 converted to a dict.
2026-05-28 14:26:34,521 | shape_manager | INFO | shapes saved to json file
2026-05-28 14:30:17,498 | shape_manager | DEBUG | calulate the max id 0
2026-05-28 14:30:17,498 | shape_manager | DEBUG | extract class type <class 'circle.Circle'>
2026-05-28 14:30:17,499 | root | DEBUG | create a new object of <class 'circle.Circle'>
2026-05-28 14:30:17,499 | root | DEBUG | object circle created, id 0
2026-05-28 14:30:17,499 | shape_manager | DEBUG | extract class type <class 'rectangle.Rectangle'>
2026-05-28 14:30:17,499 | root | DEBUG | create a new object of <class 'rectangle.Rectangle'>
2026-05-28 14:30:17,499 | root | DEBUG | object rectangle created, id 1
2026-05-28 14:30:17,499 | shape_manager | INFO | shapes loaded from json
2026-05-28 14:30:21,937 | shape_manager | DEBUG | all the shapes showed
2026-05-28 14:33:33,782 | shape_manager | DEBUG | calulate the max id 0
2026-05-28 14:33:33,783 | shape_manager | DEBUG | extract class type <class 'circle.Circle'>
2026-05-28 14:33:33,783 | root | DEBUG | create a new object of <class 'circle.Circle'>
2026-05-28 14:33:33,783 | root | DEBUG | object circle created, id 0
2026-05-28 14:33:33,783 | shape_manager | DEBUG | extract class type <class 'rectangle.Rectangle'>
2026-05-28 14:33:33,783 | root | DEBUG | create a new object of <class 'rectangle.Rectangle'>
2026-05-28 14:33:33,784 | root | DEBUG | object rectangle created, id 1
2026-05-28 14:33:33,784 | shape_manager | INFO | shapes loaded from json
2026-05-28 14:33:43,391 | shape_manager | DEBUG | shape rectangle found
2026-05-28 14:34:44,330 | shape_manager | DEBUG | calulate the max id 0
2026-05-28 14:34:44,330 | shape_manager | DEBUG | extract class type <class 'circle.Circle'>
2026-05-28 14:34:44,330 | root | DEBUG | create a new object of <class 'circle.Circle'>
2026-05-28 14:34:44,331 | root | DEBUG | object circle created, id 0
2026-05-28 14:34:44,331 | shape_manager | DEBUG | extract class type <class 'rectangle.Rectangle'>
2026-05-28 14:34:44,331 | root | DEBUG | create a new object of <class 'rectangle.Rectangle'>
2026-05-28 14:34:44,331 | root | DEBUG | object rectangle created, id 1
2026-05-28 14:34:44,331 | shape_manager | INFO | shapes loaded from json
2026-05-28 14:34:49,781 | shape_manager | DEBUG | all the shapes showed
2026-05-28 14:35:11,974 | shape_manager | DEBUG | shape rectangle found
2026-05-28 14:36:38,388 | shape_manager | DEBUG | shape circle found
2026-05-28 14:36:38,389 | shape_manager | DEBUG | extract class type <class 'circle.Circle'>
2026-05-28 14:36:38,389 | root | DEBUG | create a new object of <class 'circle.Circle'>
2026-05-28 14:36:38,390 | root | DEBUG | object circle created, id 0
2026-05-28 14:36:38,390 | rectangle | DEBUG | object id 1 converted to a dict.
2026-05-28 14:36:38,390 | circle | DEBUG | object id 0 converted to a dict.
2026-05-28 14:36:38,391 | shape_manager | INFO | shapes saved to json file
2026-05-28 14:36:38,392 | shape_manager | INFO | shape id 0 updated
2026-05-28 14:36:58,507 | shape_manager | DEBUG | all the shapes showed
2026-05-28 14:37:13,437 | shape_manager | DEBUG | shape circle found
2026-05-28 14:37:13,438 | rectangle | DEBUG | object id 1 converted to a dict.
2026-05-28 14:37:13,439 | shape_manager | INFO | shapes saved to json file
2026-05-28 14:37:13,439 | shape_manager | WARNING | shape id: 0 DELETED !
2026-05-28 14:37:43,388 | shape_manager | DEBUG | all the shapes showed
2026-05-31 07:24:36,694 | shape_manager | DEBUG | calulate the max id 1
2026-05-31 07:24:36,694 | shape_manager | DEBUG | extract class type <class 'rectangle.Rectangle'>
2026-05-31 07:24:36,694 | root | DEBUG | create a new object of <class 'rectangle.Rectangle'>
2026-05-31 07:24:36,694 | root | DEBUG | object rectangle created, id 1
2026-05-31 07:24:36,695 | shape_manager | INFO | shapes loaded from json
2026-05-31 07:25:00,305 | shape_manager | DEBUG | extract class type <class 'Triangle.Tringle'>
2026-05-31 07:25:00,305 | shape_manager | INFO | a new shape <class 'Triangle.Tringle'> created ID 2 
2026-05-31 07:25:00,305 | root | DEBUG | create a new object of <class 'Triangle.Tringle'>
2026-05-31 07:25:00,306 | root | DEBUG | object triangle created, id 2
2026-05-31 07:25:00,306 | rectangle | DEBUG | object id 1 converted to a dict.
2026-05-31 07:25:00,306 | Triangle | DEBUG | object id 2 converted to a dict.
2026-05-31 07:25:00,307 | shape_manager | INFO | shapes saved to json file
2026-05-31 07:28:00,990 | shape_manager | DEBUG | calulate the max id 2
2026-05-31 07:28:00,991 | shape_manager | DEBUG | extract class type <class 'rectangle.Rectangle'>
2026-05-31 07:28:00,991 | root | DEBUG | create a new object of <class 'rectangle.Rectangle'>
2026-05-31 07:28:00,991 | root | DEBUG | object rectangle created, id 1
2026-05-31 07:28:00,991 | shape_manager | DEBUG | extract class type <class 'Triangle.Tringle'>
2026-05-31 07:28:00,992 | root | DEBUG | create a new object of <class 'Triangle.Tringle'>
2026-05-31 07:28:00,992 | root | DEBUG | object triangle created, id 2
2026-05-31 07:28:00,992 | shape_manager | INFO | shapes loaded from json
2026-05-31 07:30:34,419 | shape_manager | DEBUG | calulate the max id 2
2026-05-31 07:30:34,419 | shape_manager | DEBUG | extract class type <class 'rectangle.Rectangle'>
2026-05-31 07:30:34,419 | root | DEBUG | create a new object of <class 'rectangle.Rectangle'>
2026-05-31 07:30:34,419 | root | DEBUG | object rectangle created, id 1
2026-05-31 07:30:34,419 | shape_manager | DEBUG | extract class type <class 'Triangle.Tringle'>
2026-05-31 07:30:34,420 | root | DEBUG | create a new object of <class 'Triangle.Tringle'>
2026-05-31 07:30:34,420 | root | DEBUG | object triangle created, id 2
2026-05-31 07:30:34,420 | shape_manager | INFO | shapes loaded from json
2026-05-31 07:32:20,922 | shape_manager | DEBUG | calulate the max id 2
2026-05-31 07:32:20,923 | shape_manager | DEBUG | extract class type <class 'rectangle.Rectangle'>
2026-05-31 07:32:20,923 | root | DEBUG | create a new object of <class 'rectangle.Rectangle'>
2026-05-31 07:32:20,923 | root | DEBUG | object rectangle created, id 1
2026-05-31 07:32:20,923 | shape_manager | DEBUG | extract class type <class 'Triangle.Tringle'>
2026-05-31 07:32:20,923 | root | DEBUG | create a new object of <class 'Triangle.Tringle'>
2026-05-31 07:32:20,923 | root | DEBUG | object triangle created, id 2
2026-05-31 07:32:20,923 | shape_manager | INFO | shapes loaded from json
2026-05-31 07:33:00,848 | shape_manager | DEBUG | calulate the max id 2
2026-05-31 07:33:00,848 | shape_manager | DEBUG | extract class type <class 'rectangle.Rectangle'>
2026-05-31 07:33:00,848 | root | DEBUG | create a new object of <class 'rectangle.Rectangle'>
2026-05-31 07:33:00,849 | root | DEBUG | object rectangle created, id 1
2026-05-31 07:33:00,849 | shape_manager | DEBUG | extract class type <class 'Triangle.Tringle'>
2026-05-31 07:33:00,849 | root | DEBUG | create a new object of <class 'Triangle.Tringle'>
2026-05-31 07:33:00,849 | root | DEBUG | object triangle created, id 2
2026-05-31 07:33:00,849 | shape_manager | INFO | shapes loaded from json
2026-05-31 07:33:39,756 | shape_manager | DEBUG | shape triangle found
2026-05-31 07:33:39,757 | rectangle | DEBUG | object id 1 converted to a dict.
2026-05-31 07:33:39,758 | shape_manager | INFO | shapes saved to json file
2026-05-31 07:33:39,758 | shape_manager | WARNING | shape id: 2 DELETED !
2026-05-31 07:34:01,532 | shape_manager | DEBUG | calulate the max id 1
2026-05-31 07:34:01,533 | shape_manager | DEBUG | extract class type <class 'rectangle.Rectangle'>
2026-05-31 07:34:01,533 | root | DEBUG | create a new object of <class 'rectangle.Rectangle'>
2026-05-31 07:34:01,533 | root | DEBUG | object rectangle created, id 1
2026-05-31 07:34:01,533 | shape_manager | INFO | shapes loaded from json
2026-05-31 07:34:04,165 | shape_manager | DEBUG | all the shapes showed
2026-05-31 07:34:28,985 | shape_manager | DEBUG | extract class type <class 'Triangle.Tringle'>
2026-05-31 07:34:28,985 | shape_manager | INFO | a new shape <class 'Triangle.Tringle'> created ID 2 
2026-05-31 07:34:28,985 | root | DEBUG | create a new object of <class 'Triangle.Tringle'>
2026-05-31 07:34:28,985 | root | DEBUG | object triangle created, id 2
2026-05-31 07:34:28,986 | rectangle | DEBUG | object id 1 converted to a dict.
2026-05-31 07:34:28,986 | Triangle | DEBUG | object id 2 converted to a dict.
2026-05-31 07:34:28,987 | shape_manager | INFO | shapes saved to json file
2026-05-31 07:36:36,014 | shape_manager | DEBUG | calulate the max id 2
2026-05-31 07:36:36,014 | shape_manager | DEBUG | extract class type <class 'rectangle.Rectangle'>
2026-05-31 07:36:36,014 | root | DEBUG | create a new object of <class 'rectangle.Rectangle'>
2026-05-31 07:36:36,014 | root | DEBUG | object rectangle created, id 1
2026-05-31 07:36:36,014 | shape_manager | DEBUG | extract class type <class 'Triangle.Tringle'>
2026-05-31 07:36:36,015 | root | DEBUG | create a new object of <class 'Triangle.Tringle'>
2026-05-31 07:36:36,015 | root | DEBUG | object triangle created, id 2
2026-05-31 07:36:36,015 | shape_manager | INFO | shapes loaded from json
2026-05-31 07:36:48,187 | shape_manager | DEBUG | calulate the max id 2
2026-05-31 07:36:48,187 | shape_manager | DEBUG | extract class type <class 'rectangle.Rectangle'>
2026-05-31 07:36:48,187 | root | DEBUG | create a new object of <class 'rectangle.Rectangle'>
2026-05-31 07:36:48,188 | root | DEBUG | object rectangle created, id 1
2026-05-31 07:36:48,188 | shape_manager | DEBUG | extract class type <class 'Triangle.Tringle'>
2026-05-31 07:36:48,188 | root | DEBUG | create a new object of <class 'Triangle.Tringle'>
2026-05-31 07:36:48,188 | root | DEBUG | object triangle created, id 2
2026-05-31 07:36:48,188 | shape_manager | INFO | shapes loaded from json
2026-05-31 07:36:52,805 | shape_manager | DEBUG | shape triangle found
2026-05-31 07:36:52,806 | rectangle | DEBUG | object id 1 converted to a dict.
2026-05-31 07:36:52,807 | shape_manager | INFO | shapes saved to json file
2026-05-31 07:36:52,807 | shape_manager | WARNING | shape id: 2 DELETED !
2026-05-31 07:37:01,493 | shape_manager | DEBUG | all the shapes showed
2026-05-31 07:37:13,339 | shape_manager | DEBUG | extract class type <class 'Triangle.Tringle'>
2026-05-31 07:37:13,340 | shape_manager | INFO | a new shape <class 'Triangle.Tringle'> created ID 3 
2026-05-31 07:37:13,340 | root | DEBUG | create a new object of <class 'Triangle.Tringle'>
2026-05-31 07:37:13,341 | root | DEBUG | object triangle created, id 3
2026-05-31 07:37:13,341 | rectangle | DEBUG | object id 1 converted to a dict.
2026-05-31 07:37:13,341 | Triangle | DEBUG | object id 3 converted to a dict.
2026-05-31 07:37:13,343 | shape_manager | INFO | shapes saved to json file
2026-05-31 07:40:27,172 | shape_manager | DEBUG | calulate the max id 3
2026-05-31 07:40:27,173 | shape_manager | DEBUG | extract class type <class 'rectangle.Rectangle'>
2026-05-31 07:40:27,173 | root | DEBUG | create a new object of <class 'rectangle.Rectangle'>
2026-05-31 07:40:27,173 | root | DEBUG | object rectangle created, id 1
2026-05-31 07:40:27,174 | shape_manager | DEBUG | extract class type <class 'Triangle.Tringle'>
2026-05-31 07:40:27,174 | root | DEBUG | create a new object of <class 'Triangle.Tringle'>
2026-05-31 07:40:27,175 | root | DEBUG | object triangle created, id 3
2026-05-31 07:40:27,175 | shape_manager | INFO | shapes loaded from json
2026-05-31 07:40:47,490 | shape_manager | DEBUG | calulate the max id 3
2026-05-31 07:40:47,491 | shape_manager | DEBUG | extract class type <class 'rectangle.Rectangle'>
2026-05-31 07:40:47,492 | root | DEBUG | create a new object of <class 'rectangle.Rectangle'>
2026-05-31 07:40:47,492 | root | DEBUG | object rectangle created, id 1
2026-05-31 07:40:47,493 | shape_manager | DEBUG | extract class type <class 'Triangle.Tringle'>
2026-05-31 07:40:47,493 | root | DEBUG | create a new object of <class 'Triangle.Tringle'>
2026-05-31 07:40:47,493 | root | DEBUG | object triangle created, id 3
2026-05-31 07:40:47,493 | shape_manager | INFO | shapes loaded from json
2026-05-31 07:40:50,638 | shape_manager | DEBUG | calulate the max id 3
2026-05-31 07:40:50,639 | shape_manager | DEBUG | extract class type <class 'rectangle.Rectangle'>
2026-05-31 07:40:50,640 | root | DEBUG | create a new object of <class 'rectangle.Rectangle'>
2026-05-31 07:40:50,640 | root | DEBUG | object rectangle created, id 1
2026-05-31 07:40:50,641 | shape_manager | DEBUG | extract class type <class 'Triangle.Tringle'>
2026-05-31 07:40:50,641 | root | DEBUG | create a new object of <class 'Triangle.Tringle'>
2026-05-31 07:40:50,641 | root | DEBUG | object triangle created, id 3
2026-05-31 07:40:50,642 | shape_manager | INFO | shapes loaded from json
2026-05-31 07:41:09,708 | shape_manager | DEBUG | shape triangle found
2026-05-31 07:41:09,708 | rectangle | DEBUG | object id 1 converted to a dict.
2026-05-31 07:41:09,709 | shape_manager | INFO | shapes saved to json file
2026-05-31 07:41:09,710 | shape_manager | WARNING | shape id: 3 DELETED !
2026-05-31 07:41:19,191 | shape_manager | DEBUG | all the shapes showed
2026-05-31 07:41:53,554 | shape_manager | DEBUG | extract class type <class 'Triangle.Tringle'>
2026-05-31 07:41:53,554 | shape_manager | INFO | a new shape <class 'Triangle.Tringle'> created ID 4 
2026-05-31 07:41:53,555 | root | DEBUG | create a new object of <class 'Triangle.Tringle'>
2026-05-31 07:41:53,555 | root | DEBUG | object triangle created, id 4
2026-05-31 07:41:53,555 | rectangle | DEBUG | object id 1 converted to a dict.
2026-05-31 07:41:53,555 | Triangle | DEBUG | object id 4 converted to a dict.
2026-05-31 07:41:53,556 | shape_manager | INFO | shapes saved to json file
2026-05-31 07:42:25,031 | shape_manager | DEBUG | calulate the max id 4
2026-05-31 07:42:25,031 | shape_manager | DEBUG | extract class type <class 'rectangle.Rectangle'>
2026-05-31 07:42:25,032 | root | DEBUG | create a new object of <class 'rectangle.Rectangle'>
2026-05-31 07:42:25,032 | root | DEBUG | object rectangle created, id 1
2026-05-31 07:42:25,032 | shape_manager | DEBUG | extract class type <class 'Triangle.Tringle'>
2026-05-31 07:42:25,032 | root | DEBUG | create a new object of <class 'Triangle.Tringle'>
2026-05-31 07:42:25,033 | root | DEBUG | object triangle created, id 4
2026-05-31 07:42:25,033 | shape_manager | INFO | shapes loaded from json
2026-05-31 07:42:39,271 | shape_manager | DEBUG | calulate the max id 4
2026-05-31 07:42:39,271 | shape_manager | DEBUG | extract class type <class 'rectangle.Rectangle'>
2026-05-31 07:42:39,272 | root | DEBUG | create a new object of <class 'rectangle.Rectangle'>
2026-05-31 07:42:39,272 | root | DEBUG | object rectangle created, id 1
2026-05-31 07:42:39,273 | shape_manager | DEBUG | extract class type <class 'Triangle.Tringle'>
